"Taxon"	"ID"	"Region"	"Latitude"	"Longitude"	"Elevation"	"Day"	"Month"	"Year"	"Collector"	"Subfamily"	"Tribe"	"Hydromyini.Division.Rattini.Group"
"Abeomelomys spMW"	"MW2700.114"	"Mt. Wilhelm"	-5.815	145.159	2700	30	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Mallomys division"
"Abeomelomys spMW"	"MW3200.139"	"Mt. Wilhelm"	-5.8	145.069	3200	5	10	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Mallomys division"
"Anisomys imitatorFR"	"FR1200.043"	"Saruwaged Range"	-5.965	146.834	1200	3	5	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Anisomys imitatorFR"	"FR1700.092"	"Saruwaged Range"	-6.032	146.811	1700	21	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Anisomys imitatorFR"	"FR2200.020"	"Saruwaged Range"	-6.027	146.834	2200	12	4	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Anisomys imitatorFR"	"FR2700.048"	"Saruwaged Range"	-6.111	146.896	2700	6	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Anisomys imitatorMW"	"MW2200.156"	"Mt. Wilhelm"	-5.759	145.186	2200	25	9	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Coccymys shawmayeri"	"MW2700.122"	"Mt. Wilhelm"	-5.815	145.159	2700	31	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Coccymys shawmayeri"	"MW2700.123"	"Mt. Wilhelm"	-5.815	145.159	2700	31	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Coccymys shawmayeri"	"MW3200.001"	"Mt. Wilhelm"	-5.8	145.069	3200	19	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Coccymys shawmayeri"	"MW3200.155"	"Mt. Wilhelm"	-5.8	145.069	3200	6	10	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Coccymys shawmayeri"	"MW3700.011"	"Mt. Wilhelm"	-5.789	145.061	3700	9	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Coccymys shawmayeri"	"MW3700.021"	"Mt. Wilhelm"	-5.789	145.061	3700	11	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Coccymys shawmayeri"	"MW3700.026"	"Mt. Wilhelm"	-5.789	145.061	3700	11	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Coccymys shawmayeri"	"MW3700.027"	"Mt. Wilhelm"	-5.789	145.061	3700	11	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Coccymys shawmayeri"	"MW3700.038"	"Mt. Wilhelm"	-5.789	145.061	3700	12	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Coccymys shawmayeri"	"MW3700.039"	"Mt. Wilhelm"	-5.789	145.061	3700	12	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Coccymys shawmayeri"	"MW3700.040"	"Mt. Wilhelm"	-5.789	145.061	3700	12	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Hydromys sp"	"WG200.001"	"Wanang"	-5.255	145.147	200	8	8	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Hydromys division"
"Hydromys sp"	"WG200.002"	"Wanang"	-5.255	145.147	200	8	8	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Hydromys division"
"Hydromys sp"	"WG200.006"	"Wanang"	-5.255	145.147	200	10	8	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Hydromys division"
"Hydromys sp"	"WG200.013"	"Wanang"	-5.255	145.147	200	10	8	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Hydromys division"
"Hydromys sp"	"WG200.024"	"Wanang"	-5.255	145.147	200	NA	NA	2022	"locals. BRC_NatGeog_non-invasive_pitfalls"	"Murinae"	"Hydromyini"	"Hydromys division"
"Hyomys goliath"	"FR1700.082"	"Saruwaged Range"	-6.032	146.811	1700	20	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Hyomys goliath"	"MW1700.025"	"Mt. Wilhelm"	-5.766	145.202	1700	13	6	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Leptomys ernstmayri"	"FR1700.020"	"Saruwaged Range"	-6.032	146.811	1700	14	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Hydromys division"
"Leptomys ernstmayri"	"FR1700.028"	"Saruwaged Range"	-6.032	146.811	1700	14	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Hydromys division"
"Leptomys ernstmayri"	"FR1700.083"	"Saruwaged Range"	-6.032	146.811	1700	20	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Hydromys division"
"Leptomys ernstmayri"	"FR2200.033"	"Saruwaged Range"	-6.027	146.834	2200	14	4	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Hydromys division"
"Lorentzimys highFR"	"FR1700.017"	"Saruwaged Range"	-6.032	146.811	1700	14	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR1700.019"	"Saruwaged Range"	-6.032	146.811	1700	14	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR1700.026"	"Saruwaged Range"	-6.032	146.811	1700	14	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR1700.027"	"Saruwaged Range"	-6.032	146.811	1700	14	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR1700.038"	"Saruwaged Range"	-6.032	146.811	1700	15	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR1700.074"	"Saruwaged Range"	-6.032	146.811	1700	19	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR1700.076"	"Saruwaged Range"	-6.032	146.811	1700	19	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR2200.012"	"Saruwaged Range"	-6.027	146.834	2200	10	4	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR2200.014"	"Saruwaged Range"	-6.027	146.834	2200	11	4	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR2200.017"	"Saruwaged Range"	-6.027	146.834	2200	11	4	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR2200.027"	"Saruwaged Range"	-6.027	146.834	2200	13	4	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR2200.030"	"Saruwaged Range"	-6.027	146.834	2200	14	4	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR2200.031"	"Saruwaged Range"	-6.027	146.834	2200	14	4	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR2200.038"	"Saruwaged Range"	-6.027	146.834	2200	15	4	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR2700.021"	"Saruwaged Range"	-6.111	146.896	2700	30	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR2700.022"	"Saruwaged Range"	-6.111	146.896	2700	30	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR2700.023"	"Saruwaged Range"	-6.111	146.896	2700	30	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR2700.040"	"Saruwaged Range"	-6.111	146.896	2700	4	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR2700.043"	"Saruwaged Range"	-6.111	146.896	2700	5	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR3200.21"	"Saruwaged Range"	-6.184	146.896	3200	20	3	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highMW"	"MW2700.042"	"Mt. Wilhelm"	-5.815	145.159	2700	24	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highMW"	"MW2700.054"	"Mt. Wilhelm"	-5.815	145.159	2700	25	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highMW"	"MW2700.065"	"Mt. Wilhelm"	-5.815	145.159	2700	26	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highMW"	"MW2700.083"	"Mt. Wilhelm"	-5.815	145.159	2700	27	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highMW"	"MW2700.085"	"Mt. Wilhelm"	-5.815	145.159	2700	28	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highMW"	"MW2700.117"	"Mt. Wilhelm"	-5.815	145.159	2700	31	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highMW"	"MW2700.124"	"Mt. Wilhelm"	-5.815	145.159	2700	31	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highMW"	"MW2700.131"	"Mt. Wilhelm"	-5.815	145.159	2700	1	8	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highMW"	"MW2700.138"	"Mt. Wilhelm"	-5.815	145.159	2700	2	8	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys lowFR"	"FR1200.040"	"Saruwaged Range"	-5.965	146.834	1200	1	5	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys lowFR"	"FR1700.009"	"Saruwaged Range"	-6.032	146.811	1700	14	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys lowFR"	"FR1700.034"	"Saruwaged Range"	-6.032	146.811	1700	15	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys lowFR"	"FR1700.035"	"Saruwaged Range"	-6.032	146.811	1700	15	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys lowFR"	"FR1700.036"	"Saruwaged Range"	-6.032	146.811	1700	15	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys lowFR"	"FR1700.037"	"Saruwaged Range"	-6.032	146.811	1700	15	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys lowFR"	"FR1700.048"	"Saruwaged Range"	-6.032	146.811	1700	16	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys lowFR"	"FR1700.050"	"Saruwaged Range"	-6.032	146.811	1700	16	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys lowFR"	"FR1700.066"	"Saruwaged Range"	-6.032	146.811	1700	18	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys lowFR"	"FR1700.073"	"Saruwaged Range"	-6.032	146.811	1700	19	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys lowFR"	"FR1700.075"	"Saruwaged Range"	-6.032	146.811	1700	19	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys lowFR"	"FR1700.077"	"Saruwaged Range"	-6.032	146.811	1700	19	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys lowFR"	"FR1700.078"	"Saruwaged Range"	-6.032	146.811	1700	19	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys lowFR"	"FR1700.100"	"Saruwaged Range"	-6.032	146.811	1700	22	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys lowFR"	"FR700.002"	"Saruwaged Range"	-5.949	146.845	700	27	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys lowFR"	"FR700.008"	"Saruwaged Range"	-5.949	146.845	700	30	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys lowMW"	"MW1200.005"	"Mt. Wilhelm"	-5.722	145.27	1200	6	9	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys midMW"	"MW2200.018"	"Mt. Wilhelm"	-5.759	145.186	2200	17	9	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys midMW"	"MW2200.050"	"Mt. Wilhelm"	-5.759	145.186	2200	19	9	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys midMW"	"MW2200.145"	"Mt. Wilhelm"	-5.759	145.186	2200	25	9	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Macruromys major"	"FR1200.029"	"Saruwaged Range"	-5.965	146.834	1200	27	4	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Mallomys cf_aroaensis"	"MW3200.038"	"Mt. Wilhelm"	-5.8	145.069	3200	29	9	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Mallomys division"
"Mallomys cf_aroaensis"	"MW3200.048"	"Mt. Wilhelm"	-5.8	145.069	3200	30	9	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Mallomys division"
"Mallomys hercules"	"FR1200.035"	"Saruwaged Range"	-5.965	146.834	1200	30	4	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Mallomys division"
"Mallomys hercules"	"FR1700.001"	"Saruwaged Range"	-6.032	146.811	1700	13	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Mallomys division"
"Mallomys hercules"	"FR1700.056"	"Saruwaged Range"	-6.032	146.811	1700	16	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Mallomys division"
"Mallomys hercules"	"FR1700.063"	"Saruwaged Range"	-6.032	146.811	1700	17	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Mallomys division"
"Mallomys istapantap"	"MW3200.074"	"Mt. Wilhelm"	-5.8	145.069	3200	1	10	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Mallomys division"
"Mallomys istapantap"	"MW3200.088"	"Mt. Wilhelm"	-5.8	145.069	3400	1	10	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Mallomys division"
"Mallomys istapantap"	"MW3200.089"	"Mt. Wilhelm"	-5.8	145.069	3400	1	10	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Mallomys division"
"Mallomys istapantap"	"MW3700.046"	"Mt. Wilhelm"	-5.789	145.061	3700	12	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Mallomys division"
"Mallomys istapantap"	"MW3700.084"	"Mt. Wilhelm"	-5.789	145.061	3700	17	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Mallomys division"
"Mallomys istapantap"	"MW3700.085"	"Mt. Wilhelm"	-5.789	145.061	3700	17	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Mallomys division"
"Mallomys rothschildi"	"MW1700.104"	"Mt. Wilhelm"	-5.766	145.202	1700	20	6	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Mallomys division"
"Mallomys rothschildi"	"MW2700.058"	"Mt. Wilhelm"	-5.815	145.159	2700	25	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Mallomys division"
"Melomys low"	"BAI.010"	"Baitabag"	-5.138	145.772	45	4	6	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Uromys division"
"Melomys low"	"BAI.031"	"Baitabag"	-5.138	145.772	45	5	6	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Uromys division"
"Melomys low"	"BAI.034"	"Baitabag"	-5.138	145.772	45	5	6	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Uromys division"
"Melomys low"	"FR200.001"	"Saruwaged Range"	-5.924	146.856	200	5	5	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Melomys low"	"FR200.009"	"Saruwaged Range"	-5.924	146.856	200	14	5	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Melomys low"	"FR200.018"	"Saruwaged Range"	-5.924	146.856	200	16	5	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Melomys low"	"FR700.005"	"Saruwaged Range"	-5.949	146.845	700	29	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Melomys low"	"MW700.061"	"Mt. Wilhelm"	-5.724	145.26	700	4	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Uromys division"
"Melomys low"	"MW700.062"	"Mt. Wilhelm"	-5.724	145.26	700	4	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Uromys division"
"Melomys low"	"MW700.064"	"Mt. Wilhelm"	-5.724	145.26	700	4	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Uromys division"
"Melomys midFR"	"FR1700.099"	"Saruwaged Range"	-6.032	146.811	1700	22	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Melomys midFR"	"FR2200.039"	"Saruwaged Range"	-6.027	146.834	2200	16	4	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Microhydromys sp"	"FR1200.008"	"Saruwaged Range"	-5.965	146.834	1200	26	4	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Hydromys division"
"Microhydromys sp"	"MW1200.028"	"Mt. Wilhelm"	-5.722	145.27	1200	10	9	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Hydromys division"
"Paramelomys platyopsBAI"	"BAI.033"	"Baitabag"	-5.138	145.772	45	5	6	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys platyopsFR"	"FR200.004"	"Saruwaged Range"	-5.924	146.856	200	11	5	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys platyopsFR"	"FR200.008"	"Saruwaged Range"	-5.924	146.856	200	14	5	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys platyopsFR"	"FR200.017"	"Saruwaged Range"	-5.924	146.856	200	16	5	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys platyopsFR"	"FR700.001"	"Saruwaged Range"	-5.949	146.845	700	27	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys platyopsFR"	"FR700.003"	"Saruwaged Range"	-5.949	146.845	700	28	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys platyopsFR"	"FR700.014"	"Saruwaged Range"	-5.949	146.845	700	31	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys platyopsFR"	"FR700.019"	"Saruwaged Range"	-5.949	146.845	700	3	6	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys platyopsMW"	"MW1200.016"	"Mt. Wilhelm"	-5.722	145.27	1200	8	9	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys platyopsMW"	"MW200.013"	"Mt. Wilhelm"	-5.737	145.328	200	24	10	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys platyopsMW"	"MW700.018"	"Mt. Wilhelm"	-5.724	145.26	700	26	6	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys platyopsMW"	"MW700.031"	"Mt. Wilhelm"	-5.724	145.26	700	28	6	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys platyopsMW"	"MW700.033"	"Mt. Wilhelm"	-5.724	145.26	700	28	6	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys platyopsMW"	"MW700.043"	"Mt. Wilhelm"	-5.724	145.26	700	29	6	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys platyopsMW"	"MW700.049"	"Mt. Wilhelm"	-5.724	145.26	700	30	6	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys platyopsMW"	"MW700.056"	"Mt. Wilhelm"	-5.724	145.26	700	2	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys platyopsMW"	"MW700.066"	"Mt. Wilhelm"	-5.724	145.26	700	5	9	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys platyopsWG"	"WG200.015"	"Wanang"	-5.255	145.147	200	12	8	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys platyopsWG"	"WG200.022"	"Wanang"	-5.255	145.147	200	15	8	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2200.018"	"Saruwaged Range"	-6.027	146.834	2200	11	4	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2200.019"	"Saruwaged Range"	-6.027	146.834	2200	11	4	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2200.028"	"Saruwaged Range"	-6.027	146.834	2200	13	4	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.004"	"Saruwaged Range"	-6.111	146.896	2700	29	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.006"	"Saruwaged Range"	-6.111	146.896	2700	29	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.007"	"Saruwaged Range"	-6.111	146.896	2700	29	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.008"	"Saruwaged Range"	-6.111	146.896	2700	29	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.009"	"Saruwaged Range"	-6.111	146.896	2700	29	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.010"	"Saruwaged Range"	-6.111	146.896	2700	29	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.011"	"Saruwaged Range"	-6.111	146.896	2700	29	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.012"	"Saruwaged Range"	-6.111	146.896	2700	29	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.013"	"Saruwaged Range"	-6.111	146.896	2700	29	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.014"	"Saruwaged Range"	-6.111	146.896	2700	29	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.015"	"Saruwaged Range"	-6.111	146.896	2700	29	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.016"	"Saruwaged Range"	-6.111	146.896	2700	29	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.017"	"Saruwaged Range"	-6.111	146.896	2700	29	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.018"	"Saruwaged Range"	-6.111	146.896	2700	29	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.020"	"Saruwaged Range"	-6.111	146.896	2700	30	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.024"	"Saruwaged Range"	-6.111	146.896	2700	30	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.025"	"Saruwaged Range"	-6.111	146.896	2700	30	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.026"	"Saruwaged Range"	-6.111	146.896	2700	30	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.027"	"Saruwaged Range"	-6.111	146.896	2700	30	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.028"	"Saruwaged Range"	-6.111	146.896	2700	30	4	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.029"	"Saruwaged Range"	-6.111	146.896	2700	1	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.030"	"Saruwaged Range"	-6.111	146.896	2700	1	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.031"	"Saruwaged Range"	-6.111	146.896	2700	1	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.037"	"Saruwaged Range"	-6.111	146.896	2700	2	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.039"	"Saruwaged Range"	-6.111	146.896	2700	3	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.044"	"Saruwaged Range"	-6.111	146.896	2700	5	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.046"	"Saruwaged Range"	-6.111	146.896	2700	5	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.052"	"Saruwaged Range"	-6.111	146.896	2700	7	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighFR"	"FR2700.054"	"Saruwaged Range"	-6.111	146.896	2700	8	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighMW"	"MW2200.021"	"Mt. Wilhelm"	-5.759	145.186	2200	17	9	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Uromys division"
"Paramelomys rubex_HighMW"	"MW2200.034"	"Mt. Wilhelm"	-5.759	145.186	2200	18	9	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Uromys division"
